Localidades de Pueblos Indigenas u Originarios - resultado de busqueda,,,,,,,
Nombre,Tipo de localidad de pueblos indigenas,Pueblo indigena,Departamento,Provincia,Distrito,Reconocimiento,Titulacion
Bashuin,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.  057-87-AG-DR-XII-A,R.M. 00217-88-AG-DGRA-AR
Bashutak,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.S.R.S.  189-96-RENOM/DSRAG-J,R.D. 439-96-AG-DRA
Belen,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Rio Santiago,R.  328-OAE-ORAMS-II-75,R.D. 2624-75-DGRA-AR
Bichanak,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.  319-OAE-ORAMS-II-75,R.D. 2632-75-DGRA-AR
Bichatin Entsa,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.D. 206-99-CTAR-A-DR-AG/D,R.D. 365-99-CTAR-A-DR-AG/D
Boca Ambuja,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Boca Chinganaza,Localidad sin tipo identificado por la DRA,Wampis,Amazonas,Condorcanqui,Rio Santiago,-,-
Boca de Lobo,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Buchigkim,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.S.R.S.  177-93-RENOM/DSRAG-J,R.D. 016-94-RENOM-DRA
Bukuig,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.  280-OAE-ORAMS-II-77,R.D 2224-77-DGRA-AR
Cachiyacu,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.  241-OAE-ORAMS-II-76,R.D. 4545-76-DGRA-AR
Canampa,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.  320-OAE-ORAMS-II-75,R.D. 2625-75-DGRA-AR
Candungos,Comunidad Nativa,Wampis,Amazonas,Condorcanqui,Rio Santiago,R.  239-OAE-ORAMS-II-76,R.D. 4538-76-DGRA-AR
Canga,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.  246-OAE-ORAMS-II-76,R.D. 4535-76-DGRA-AR
Catarpiza,Localidad sin tipo identificado por la DRA,Wampis,Amazonas,Condorcanqui,Rio Santiago,-,-
Cayamas,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.  242-OAE-ORAMS-II-76,R.D. 4546-76-DGRA-AR
Cayamas,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.  322-OAE-ORAMS-II-75,R.D. 2628-75-DGRA-AR
Centro Ipacuma,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Chamikar,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.  329-OAE-ORAMS-II-75,R.D. 2629-75-DGRA-AR
Chapi,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Chapi,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Chapints - Dapiikat,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Chapiza,Localidad sin tipo identificado por la DRA,Wampis,Amazonas,Condorcanqui,Nieva,-,-
Chapiza,Localidad sin tipo identificado por la DRA,Wampis,Amazonas,Condorcanqui,Rio Santiago,-,-
Chayu-Atunsamu,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.S.R.S. 107-98-RENOM/DSRAG-J,R.S.R.S. 141-98-RENOM/DSRAG-J
Chayuyaku,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.S.R.S. 238-96-RENOM/DSRAG-J,R.D. 116-97-AG-DRA
Chigkanas,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Chigki Shinuk,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,El Cenepa,-,-
Chija,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Chikais,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.  231-OAE-ORAMS-II-75,R.D. 2610-75-DGRA-AR
Chincan,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Chingamar,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.  305-OAE-ORAMS-II-75,R.D. 2618-75-DGRA-AR
