Localidades de Pueblos Indigenas u Originarios - resultado de busqueda,,,,,,,
Nombre,Tipo de localidad de pueblos indigenas,Pueblo indigena,Departamento,Provincia,Distrito,Reconocimiento,Titulacion
Nuevo Kanam,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,El Cenepa,-,-
Nuevo Mamayaque,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.S.R.S.  174-93-RENOM/DSRAG-J,R.D. 016-94-RENOM-DRA
Nuevo Progreso,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Nuevo Salem,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Nuevo Samaria,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Nuevo Seasme,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Nuevo Tutino,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.S.R.S.  074-98-CTAR-CAJ/DSRAG-J,R.S.R.S. 173-98-CTAR-CAJ/DSRAG-J
Nujagkin,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.S.R.S.  106-98-RENOM/DSRAG-J,R.S.R.S. 144-98-RENOM/DSRAG-J
Numpakaim,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Numparque,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Numpatkaim,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.  244-OAE-ORAMS-II-75,R.D. 2611-75-DGRA-AR
Onanga,Localidad sin tipo identificado por la DRA,Wampis,Amazonas,Condorcanqui,Rio Santiago,-,-
Paantan Entsa,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.   279-OAE-ORAMS-II-77,R.M. 00218-88-AG-DGRA-AR
Paantan Entsa,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.S.R.S.  076-98-CTAR-CAJ/DSRAG-J,R.S.R.S. 163-98-CTAR-CAJ/DSRAG-J
Paati,Localidad sin tipo identificado por la DRA,Wampis,Amazonas,Condorcanqui,Rio Santiago,-,-
Pachis,Localidad sin tipo identificado por la DRA,Wampis,Amazonas,Condorcanqui,Rio Santiago,-,-
Pagki,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.  053-87-AG-DR-XII-A,R.M. 00216-88-AG-DGRA-AR
Pagki,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Paik,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.  228-OAE-ORAMS-II-76,R.D. 4541-76-DGRA-AR
Paiza,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.  253-OAE-ORAMS-II-76,R.D. 4564-76-DGRA-AR
Pajacusa,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.  255-OAE-ORAMS-II-76,R.D. 4571-76-DGRA-AR
Pakui,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Pakun,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Pakuy,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.  243-OAE-ORAMS-II-75,R.D. 2636-75-DGRA-AR
Palestina,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Palometa,Localidad sin tipo identificado por la DRA,Wampis,Amazonas,Condorcanqui,Rio Santiago,-,-
Pampa-entsa,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.  050-OAE-ORAMS-II-76,R.D. 2223-77-DGRA-AR
Pampa Entsa,Localidad sin tipo identificado por la DRA,Wampis,Amazonas,Condorcanqui,Rio Santiago,-,-
Pantsam,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Papayacu o San Martin,Comunidad Nativa,Wampis,Amazonas,Condorcanqui,Rio Santiago,R.  238-OAE-ORAMS-II-76,R.D. 4536-76-DGRA-AR
Parcela Nuevo Bakish,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Pashkus,Comunidad Nativa,Wampis,Amazonas,Condorcanqui,Rio Santiago,R.S.R.S.  378-93-RENOM/DSRAG-J,R.D. 556-95-AG-DRA
Peas,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.D. 047-99-CTAR-A-DR-AG/D,R.D. 149-99-CTAR-A-DR-AG/D
Piitug,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.S.R.S.  196-98-RENOM/DSRAG-J,R.S.R.S. 241-98-RENOM/DSRAG-J
Pijuayal,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.D.  213-99-CTAR-A-DR-AG/D,R.D. 361-99-CTAR-A-DR-AG/D
Pitug,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Piwat,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Porvenir,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Puerto Galilea,Localidad sin tipo identificado por la DRA,Wampis,Amazonas,Condorcanqui,Rio Santiago,-,-
Puerto Pacuy,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Puerto Tunduza,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Puerto Wais,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,El Cenepa,-,-
Pujupat,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Pumpu,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Pumpuna Entsa,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Rio Santiago,-,-
Pumpushak,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.  262-OAE-ORAMS-II-76,R.D. 1460-77-DGRA-AR
Punton Wajal,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Putuim,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.S.R.S.  077-98-CTAR-CAJ/DSRAG-J,R.S.R.S. 112-98-CTAR-CAJ/DSRAG-J
Putuim,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Putuyakat,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Quim,Localidad sin tipo identificado por la DRA,Wampis,Amazonas,Condorcanqui,Rio Santiago,-,-
Saasa,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.  264-OAE-ORAMS-II-76,R.D. 1462-77-DGRA-AR
Saasa,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,El Cenepa,-,-
Samaren,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.D. 056-87-AG-DR-XII-A,R.D. 442-96-AG-DRA
San Antonio,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,El Cenepa,-,-
Sanchum,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.D. 207-99-CTAR-A-DR-AG/D,R.D. 363-99-CTAR-A-DR-AG/D
San Juan,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Rio Santiago,R.S.R.S.  188-96-RENOM/DSRAG-J,R.D. 441-96-AG-DRA
San Martin,Localidad sin tipo identificado por la DRA,Wampis,Amazonas,Condorcanqui,Rio Santiago,-,-
San Mateo,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
San Pablo,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
San Pedro,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
San Rafael,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
San Rafael,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Rio Santiago,-,-
San Rafael,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,El Cenepa,-,-
San Ramon,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Santa Fe,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,El Cenepa,-,-
Santa Rosa,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Rio Santiago,-,-
Santa Rosa,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.  324-OAE-ORAMS-II-75,R.D. 2612-75-DGRA-AR
Sasa,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Saunak,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Sawientsa,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.S.R.S. 715-97-RENOM/DSRAG-J,R.S.R.S. 723-97-RENOM/DSRAG-J
Sawientsa,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.S.R.S.  179-93-RENOM/DSRAG-J,R.D. 016-94-RENOM-DRA
Sawi Entsa,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Rio Santiago,-,-
Sawientsa-bichanak,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.S.R.S. 134-98-RENOM/DSRAG-J,R.S.R.S. 140-98-RENOM/DSRAG-J
Sawintza,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Seasmi,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.  316-OAE-ORAMS-II-75,R.D. 642-75-DGRA-AR
Shacham Entsa,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.D.  212-99-CTAR-A-DR-AG/D,R.D. 356-99-CTAR-A-DR-AG/D
Shaim,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.  0001-OAE-ORAMS-II-78,R.D. 00156-80-AA-DGRA-AR
Shaim,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.S.R.S. 272-97-RENOM/DSRAG-J,R.D. 114-97-AG-DRA
Shamatak,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.  053-OAE-ORAMS-II-76,R.D. 2222-77-DGRA-AR
Shapijim,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.S.R.S.  152-98-CTAR-CAJ/DSRAG-J,R.S.R.S. 165-98-CTAR-CAJ/DSRAG-J
Shaujip Yanat,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Shawi,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Aramango,-,-
Shawit,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.  231-OAE-ORAMS-II-76,R.D. 4548-76-DGRA-AR
Shayuyacu,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Utcubamba,Cajaruro,-,-
Shevonal,Localidad sin tipo identificado por la DRA,Wampis,Amazonas,Condorcanqui,Rio Santiago,-,-
Shijap,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.S.R.S. 273-97-RENOM/DSRAG-J,R.D. 115-97-AG-DRA
Shimbito,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Shimpu,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.S.R.S.  082-98-CTAR-CAJ/DSRAG-J,R.S.R.S. 175-98-CTAR-CAJ/DSRAG-J
Shimpuents-bakants,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.  250-OAE-ORAMS-II-76,R.D. 4566-76-DGRA-AR
Shiringa,Localidad sin tipo identificado por la DRA,Wampis,Amazonas,Condorcanqui,Rio Santiago,-,-
Shushug,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.  229-OAE-ORAMS-II-76,R.D. 4537-76-DGRA/AR
Shushui,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.  237-OAE-ORAMS-II-76,R.D. 1461-77-DGRA-AR
Sijiak,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Soledad,Comunidad Nativa,Wampis,Amazonas,Condorcanqui,Rio Santiago,R.  240-OAE-ORAMS-II-76,R.D. 4539-76-DGRA-AR
Sua-san Antonio,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.  247-OAE-ORAMS-II-76,R.D. 4540-76-DGRA-AR
Sugka,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Suikai,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.D.  083-99-CTAR-A-DR-AG/D,R.D. 154-99-CTAR-A-DR-AG/D
Sujin,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,El Cenepa,-,-
Sukutin,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Sumpa,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Suwants,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.D.   214-99-CTAR-A-DR-AG/D,R.D. 360-99-CTAR-A-DR-AG/D
Suwants,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Tagkae Entsa,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Tagkegip,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.D.   210-99-CTAR-A-DR-AG/D,R.D. 362-99-CTAR-A-DR-AG/D
Tamish Namak,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.S.R.S.  197-98-RENOM/DSRAG-J,R.S.R.S. 243-98-RENOM/DSRAG-J
Tampe,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Tangkaentsa,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Tatankus,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.D. 080-99-CTAR-A-DR-AG/D,R.D. 150-99-CTAR-A-DR-AG/D
Tayu,Comunidad Nativa,Awajun,Amazonas,Bagua,Aramango,R.S.R.S. 132-98-RENOM/DSRAG-J,R.S.R.S. 142-98-RENOM/DSRAG-J
Tayuntsa,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Tayuntsa Cachiaco,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Teesh,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,El Cenepa,-,-
Teesh,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Temashnum,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Tipishka,Localidad sin tipo identificado por la DRA,Wampis,Amazonas,Condorcanqui,Rio Santiago,-,-
Tsagentsa,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Tsamajain,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.S.R.S.  190-96-RENOM/DSRAG-J,R.D. 438-96-AG-DRA
Tsamash,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.S.R.S.  104-98-RENOM/DSRAG-J,R.S.R.S. 143-98-RENOM/DSRAG-J
Tsawantus,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,El Cenepa,-,-
Tseasim,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,El Cenepa,-,-
Tsegken,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Tsuntsuntsa,Comunidad Nativa,Awajun,Amazonas,Bagua,Aramango,R.  338-OAE-ORAMS-II-77,R.M. 01812-78-AA/DGRA/AR
Tsutsum,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Tunants,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Tunas,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.D.   208-99-CTAR-A-DR-AG/D,R.D. 358-99-CTAR-A-DR-AG/D
Tundusa Escuela Centro,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Tunduza,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.  306-OAE-ORAMS-II-75,R.D. 2638-75-DGRA-AR
Tunim,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Tunim,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.S.R.S.  072-98-CTAR-CAJ/DSRAG-J,R.S.R.S. 107-98-CTAR-CAJ/DSRAG-J
Tuntuam,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.S.R.S. 133-98-RENOM/DSRAG-J,R.S.R.S. 139-98-RENOM/DSRAG-J
Tuntus,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Tutumberos,Comunidad Nativa,Awajun,Amazonas,Bagua,Aramango,R.  312-OAE-ORAMS-II-75,R.D. 2637-75-DGRA-AR
Tuutin,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.  309-OAE-ORAMS-II-75,R.D. 2630-75-DGRA-AR
Tuwag Entsa,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,El Cenepa,-,-
Tuyankuwas (sijiak),Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.  002-OAE-ORAMS-II-78,R.M. 00158-80-AA-DGRA-AR
Ubukay,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Uchi Chiangos,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Uchi Numpatkaim,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.S.R.S.  081-98-CTAR-CAJ/DSRAG-J,R.S.R.S. 111-98-CTAR-CAJ/DSRAG-J
Uchi-shamatak,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.D. 0197-79-AA-DR-XI,R.M. 00085-AA-DGRA-AR
Ugkum,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.S.R.S.  075-98-CTAR-CAJ/DSRAG-J,R.S.R.S. 167-98-CTAR-CAJ/DSRAG-J
Ujukam,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Aramango,-,-
Umpunchig,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.S.R.S. 713-97-RENOM/DSRAG-J,R.S.R.S. 726-97-RENOM/DSRAG-J
Umukai,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.S.R.S.  195-98-RENOM/DSRAG-J,R.S.R.S. 242-98-RENOM/DSRAG-J
Urakuza,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.  233-OAE-ORAMS-II-75,R.D. 2605-75-DGRA-AR
Uut,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.  235-OAE-ORAMS-II-75,R.D. 2607-75-DGRA-AR
Uyac Entsa,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Uyu-entsa,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.S.R.S. 710-97-RENOM/DSRAG-J,R.S.R.S. 721-97-RENOM/DSRAG-J
Varadero,Localidad sin tipo identificado por la DRA,Wampis,Amazonas,Condorcanqui,Rio Santiago,-,-
Varadero Dos,Localidad sin tipo identificado por la DRA,Wampis,Amazonas,Condorcanqui,Rio Santiago,-,-
Villa Gonzalo,Comunidad Nativa,Wampis,Amazonas,Condorcanqui,Rio Santiago,R.  327-OAE-ORAMS-II-75,R.D. 2627-75-DGRA-AR
Villa Rica,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Wachapea,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.  237-OAE-ORAMS-II-75,R.D. 2608-75-DGRA-AR
Wachim,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.S.R.S.  071-98-CTAR-CAJ/DSRAG-J,R.S.R.S. 108-98-CTAR-CAJ/DSRAG-J
Wachins,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Waga Entsa,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Waisim,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.  282-OAE-ORAMS-II-77,R.D. 2218-77-DGRA-AR
Wajai,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.S.R.S.  198-98-RENOM/DSRAG-J,R.S.R.S. 246-98-RENOM/DSRAG-J
Wajuyat,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Wampintsa,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.S.R.S. 176-93-RENOM/DSRAG-J,R.D. 440-96-AG-DRA
Washuntsa,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Wawaim,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.  248-OAE-ORAMS-II-76,R.D. 4569-76-DGRA-AR
Wawain,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.  234-OAE-ORAMS-II-75,R.D. 2602-75-DGRA-AR
Wawajim Entsa,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,El Cenepa,-,-
Wawas,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.  304-OAE-ORAMS-II-75,R.D. 2631-75-DGRA-AR
Wawik,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.  263-OAE-ORAMS-II-76,R.D. 1445-77-DGRA-AR
Wayampiak,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Wee,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.S.R.S.  080-98-CTAR-CAJ/DSRAG-J,R.S.R.S. 109-98-CTAR-CAJ/DSRAG-J
Wee,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.S.R.S. 180-93-RENOM/DSRAG-J,R.D. 016-94-RENOM-DRA
Wepiu,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Wichim,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Winchu-temashnum,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.  242-OAE-ORAMS-II-75,R.D. 2604-75-DGRA-AR
Yagku Entsa,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,El Cenepa,R.D.  209-99-CTAR-A-DR-AG/D,R.D. 359-99-CTAR-A-DR-AG/D
Yahuahua,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Yamakai,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Aramango,-,-
Yamakai Wawik,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Yamakentza,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Nieva,R.  317-OAE-ORAMS-II-75,R.D. 2615-75-DGRA-AR
Yamayakat,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.  310-OAE-ORAMS-II-75,R.D. 2616-75-DGRA-AR
Yampik,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.D.  633-99-CTAR-A-DR-AG/D,R.D. 653-99-CTAR-A-DR-AG/D
Yanat,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Yangunga,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Bagua,Imaza,-,-
Yantana Entsa,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Yujagkim,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Rio Santiago,R.D. 224-84-AG-DR-XII-A,R.D. 00215-88-AG/DGRA/AR
Yujamkim,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Yumingkus,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Yupicusa,Comunidad Nativa,Awajun,Amazonas,Bagua,Imaza,R.  240-OAE-ORAMS-II-76,R.D. 4534-76-DGRA-AR
Yutui Entsa,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,Nieva,-,-
Yutupis,Comunidad Nativa,Awajun,Amazonas,Condorcanqui,Rio Santiago,R.  236-OAE-ORAMS-II-75,R.D. 2609-75-DGRA-AR
Yuwi Entsa,Localidad sin tipo identificado por la DRA,Awajun,Amazonas,Condorcanqui,El Cenepa,-,-
